Theta: 1.570700
periodo,theta_Calc,theta_Anali
0.000100,1.570700,1.569930
0.000200,1.570700,1.569159
0.000300,1.570699,1.568389
0.000400,1.570699,1.567619
0.000500,1.570698,1.566849
0.000600,1.570697,1.566080
0.000700,1.570696,1.565310
0.000800,1.570695,1.564541
0.000900,1.570694,1.563771
0.001000,1.570692,1.563002
0.001100,1.570691,1.562233
0.001200,1.570689,1.561464
0.001300,1.570687,1.560695
0.001400,1.570685,1.559926
0.001500,1.570683,1.559158
0.001600,1.570680,1.558389
0.001700,1.570678,1.557621
0.001800,1.570675,1.556853
0.001900,1.570672,1.556085
0.002000,1.570669,1.555317
0.002100,1.570666,1.554549
0.002200,1.570663,1.553781
0.002300,1.570659,1.553013
0.002400,1.570656,1.552246
0.002500,1.570652,1.551479
0.002600,1.570648,1.550711
0.002700,1.570644,1.549944
0.002800,1.570640,1.549177
0.002900,1.570635,1.548410
0.003000,1.570631,1.547644
0.003100,1.570626,1.546877
0.003200,1.570621,1.546111
0.003300,1.570616,1.545344
0.003400,1.570611,1.544578
0.003500,1.570606,1.543812
0.003600,1.570600,1.543046
0.003700,1.570595,1.542280
0.003800,1.570589,1.541515
0.003900,1.570583,1.540749
0.004000,1.570577,1.539984
0.004100,1.570570,1.539218
0.004200,1.570564,1.538453
0.004300,1.570558,1.537688
0.004400,1.570551,1.536923
0.004500,1.570544,1.536158
0.004600,1.570537,1.535393
0.004700,1.570530,1.534629
0.004800,1.570522,1.533864
0.004900,1.570515,1.533100
0.005000,1.570507,1.532336
0.005100,1.570500,1.531572
0.005200,1.570492,1.530808
0.005300,1.570484,1.530044
0.005400,1.570475,1.529280
0.005500,1.570467,1.528517
0.005600,1.570458,1.527753
0.005700,1.570450,1.526990
0.005800,1.570441,1.526227
0.005900,1.570432,1.525464
0.006000,1.570423,1.524701
0.006100,1.570413,1.523938
0.006200,1.570404,1.523175
0.006300,1.570394,1.522412
0.006400,1.570384,1.521650
0.006500,1.570375,1.520888
0.006600,1.570364,1.520125
0.006700,1.570354,1.519363
0.006800,1.570344,1.518601
0.006900,1.570333,1.517840
0.007000,1.570323,1.517078
0.007100,1.570312,1.516316
0.007200,1.570301,1.515555
0.007300,1.570289,1.514794
0.007400,1.570278,1.514032
0.007500,1.570267,1.513271
0.007600,1.570255,1.512510
0.007700,1.570243,1.511750
0.007800,1.570231,1.510989
0.007900,1.570219,1.510228
0.008000,1.570207,1.509468
0.008100,1.570195,1.508707
0.008200,1.570182,1.507947
0.008300,1.570169,1.507187
0.008400,1.570156,1.506427
0.008500,1.570143,1.505667
0.008600,1.570130,1.504908
0.008700,1.570117,1.504148
0.008800,1.570103,1.503389
0.008900,1.570090,1.502629
0.009000,1.570076,1.501870
0.009100,1.570062,1.501111
0.009200,1.570048,1.500352
0.009300,1.570034,1.499593
0.009400,1.570019,1.498835
0.009500,1.570005,1.498076
0.009600,1.569990,1.497318
0.009700,1.569975,1.496559
0.009800,1.569960,1.495801
0.009900,1.569945,1.495043
0.010000,1.569930,1.494285
0.010100,1.569914,1.493527
0.010200,1.569899,1.492769
0.010300,1.569883,1.492012
0.010400,1.569867,1.491254
0.010500,1.569851,1.490497
0.010600,1.569834,1.489740
0.010700,1.569818,1.488983
0.010800,1.569801,1.488226
0.010900,1.569785,1.487469
0.011000,1.569768,1.486712
0.011100,1.569751,1.485956
0.011200,1.569734,1.485199
0.011300,1.569716,1.484443
0.011400,1.569699,1.483687
0.011500,1.569681,1.482931
0.011600,1.569663,1.482175
0.011700,1.569645,1.481419
0.011800,1.569627,1.480663
0.011900,1.569609,1.479907
0.012000,1.569591,1.479152
0.012100,1.569572,1.478397
0.012200,1.569553,1.477641
0.012300,1.569535,1.476886
0.012400,1.569516,1.476131
0.012500,1.569496,1.475377
0.012600,1.569477,1.474622
0.012700,1.569458,1.473867
0.012800,1.569438,1.473113
0.012900,1.569418,1.472358
0.013000,1.569398,1.471604
0.013100,1.569378,1.470850
0.013200,1.569358,1.470096
0.013300,1.569337,1.469342
0.013400,1.569317,1.468589
0.013500,1.569296,1.467835
0.013600,1.569275,1.467082
0.013700,1.569254,1.466328
0.013800,1.569233,1.465575
0.013900,1.569212,1.464822
0.014000,1.569190,1.464069
0.014100,1.569169,1.463316
0.014200,1.569147,1.462563
0.014300,1.569125,1.461811
0.014400,1.569103,1.461058
0.014500,1.569080,1.460306
0.014600,1.569058,1.459554
0.014700,1.569035,1.458801
0.014800,1.569013,1.458050
0.014900,1.568990,1.457298
0.015000,1.568967,1.456546
0.015100,1.568944,1.455794
0.015200,1.568920,1.455043
0.015300,1.568897,1.454291
0.015400,1.568873,1.453540
0.015500,1.568849,1.452789
0.015600,1.568825,1.452038
0.015700,1.568801,1.451287
0.015800,1.568777,1.450537
0.015900,1.568753,1.449786
0.016000,1.568728,1.449035
0.016100,1.568703,1.448285
0.016200,1.568679,1.447535
0.016300,1.568653,1.446785
0.016400,1.568628,1.446035
0.016500,1.568603,1.445285
0.016600,1.568577,1.444535
0.016700,1.568552,1.443785
0.016800,1.568526,1.443036
0.016900,1.568500,1.442287
0.017000,1.568474,1.441537
0.017100,1.568448,1.440788
0.017200,1.568421,1.440039
0.017300,1.568395,1.439290
0.017400,1.568368,1.438542
0.017500,1.568341,1.437793
0.017600,1.568314,1.437044
0.017700,1.568287,1.436296
0.017800,1.568260,1.435548
0.017900,1.568232,1.434800
0.018000,1.568204,1.434052
0.018100,1.568177,1.433304
0.018200,1.568149,1.432556
0.018300,1.568121,1.431808
0.018400,1.568092,1.431061
0.018500,1.568064,1.430313
0.018600,1.568035,1.429566
0.018700,1.568007,1.428819
0.018800,1.567978,1.428072
0.018900,1.567949,1.427325
0.019000,1.567920,1.426578
0.019100,1.567890,1.425832
0.019200,1.567861,1.425085
0.019300,1.567831,1.424339
0.019400,1.567801,1.423592
0.019500,1.567771,1.422846
0.019600,1.567741,1.422100
0.019700,1.567711,1.421354
0.019800,1.567681,1.420608
0.019900,1.567650,1.419863
0.020000,1.567619,1.419117
0.020100,1.567588,1.418372
0.020200,1.567557,1.417626
0.020300,1.567526,1.416881
0.020400,1.567495,1.416136
