Theta: 1.570700
periodo,theta_Calc,theta_Anali,Passo
0.001000,1.570692,1.563002,0.001000
0.003000,1.570631,1.547644,0.002000
0.007000,1.570323,1.517078,0.004000
0.015000,1.568967,1.456546,0.008000
0.025000,1.565887,1.381997,0.010000
0.035000,1.561272,1.308678,0.010000
0.045000,1.555125,1.236575,0.010000
0.055000,1.547452,1.165677,0.010000
0.065000,1.538262,1.095972,0.010000
0.075000,1.527562,1.027449,0.010000
0.085000,1.515365,0.960095,0.010000
0.095000,1.501680,0.893898,0.010000
0.105000,1.486523,0.828848,0.010000
0.115000,1.469908,0.764932,0.010000
0.125000,1.451850,0.702139,0.010000
0.135000,1.432369,0.640458,0.010000
0.145000,1.411483,0.579878,0.010000
0.155000,1.389212,0.520387,0.010000
0.165000,1.365578,0.461974,0.010000
0.175000,1.340605,0.404629,0.010000
0.185000,1.314316,0.348339,0.010000
0.195000,1.286739,0.293095,0.010000
0.205000,1.257899,0.238886,0.010000
0.215000,1.227826,0.185700,0.010000
0.225000,1.196548,0.133528,0.010000
0.235000,1.164096,0.082359,0.010000
0.245000,1.130502,0.032181,0.010000
0.255000,1.095800,-0.017014,0.010000
0.265000,1.060022,-0.065239,0.010000
0.275000,1.023205,-0.112502,0.010000
0.285000,0.985384,-0.158814,0.010000
0.295000,0.946597,-0.204185,0.010000
0.305000,0.906881,-0.248625,0.010000
0.315000,0.866275,-0.292145,0.010000
0.325000,0.824820,-0.334753,0.010000
0.335000,0.782555,-0.376460,0.010000
0.345000,0.739523,-0.417276,0.010000
0.355000,0.695766,-0.457210,0.010000
0.365000,0.651326,-0.496272,0.010000
0.375000,0.606247,-0.534472,0.010000
0.385000,0.560574,-0.571818,0.010000
0.395000,0.514350,-0.608320,0.010000
0.405000,0.467622,-0.643988,0.010000
0.415000,0.420436,-0.678831,0.010000
0.425000,0.372837,-0.712857,0.010000
0.435000,0.324872,-0.746077,0.010000
0.445000,0.276588,-0.778499,0.010000
0.455000,0.228034,-0.810132,0.010000
0.465000,0.179255,-0.840985,0.010000
0.475000,0.130301,-0.871067,0.010000
0.485000,0.081219,-0.900386,0.010000
0.495000,0.032057,-0.928952,0.010000
0.505000,-0.017136,-0.956773,0.010000
0.515000,-0.066313,-0.983857,0.010000
0.525000,-0.115424,-1.010214,0.010000
0.535000,-0.164422,-1.035851,0.010000
0.545000,-0.213259,-1.060776,0.010000
0.555000,-0.261887,-1.084999,0.010000
0.565000,-0.310257,-1.108528,0.010000
0.575000,-0.358324,-1.131370,0.010000
0.585000,-0.406039,-1.153534,0.010000
0.595000,-0.453355,-1.175028,0.010000
0.605000,-0.500227,-1.195859,0.010000
0.615000,-0.546608,-1.216037,0.010000
0.625000,-0.592454,-1.235568,0.010000
0.635000,-0.637717,-1.254460,0.010000
0.645000,-0.682356,-1.272722,0.010000
0.655000,-0.726325,-1.290360,0.010000
0.665000,-0.769581,-1.307384,0.010000
0.675000,-0.812083,-1.323799,0.010000
0.685000,-0.853788,-1.339614,0.010000
0.695000,-0.894656,-1.354836,0.010000
0.705000,-0.934646,-1.369473,0.010000
0.715000,-0.973719,-1.383531,0.010000
0.725000,-1.011837,-1.397019,0.010000
0.735000,-1.048963,-1.409942,0.010000
0.745000,-1.085059,-1.422310,0.010000
0.755000,-1.120091,-1.434128,0.010000
0.765000,-1.154025,-1.445404,0.010000
0.775000,-1.186826,-1.456144,0.010000
0.785000,-1.218464,-1.466356,0.010000
0.795000,-1.248906,-1.476047,0.010000
0.805000,-1.278123,-1.485223,0.010000
0.815000,-1.306086,-1.493891,0.010000
0.825000,-1.332768,-1.502057,0.010000
0.835000,-1.358143,-1.509730,0.010000
0.845000,-1.382186,-1.516914,0.010000
0.855000,-1.404872,-1.523617,0.010000
0.865000,-1.426181,-1.529845,0.010000
0.875000,-1.446091,-1.535605,0.010000
0.885000,-1.464582,-1.540903,0.010000
0.895000,-1.481636,-1.545745,0.010000
0.905000,-1.497238,-1.550138,0.010000
0.915000,-1.511370,-1.554087,0.010000
0.925000,-1.524020,-1.557600,0.010000
0.935000,-1.535175,-1.560682,0.010000
0.945000,-1.544824,-1.563339,0.010000
0.955000,-1.552958,-1.565578,0.010000
0.965000,-1.559569,-1.567403,0.010000
0.975000,-1.564649,-1.568822,0.010000
0.985000,-1.568195,-1.569841,0.010000
0.995000,-1.570203,-1.570464,0.010000
1.005000,-1.570670,-1.570698,0.010000
1.015000,-1.569597,-1.570548,0.010000
1.025000,-1.566984,-1.570021,0.010000
1.035000,-1.562834,-1.569121,0.010000
1.045000,-1.557151,-1.567855,0.010000
1.055000,-1.549940,-1.566228,0.010000
1.065000,-1.541209,-1.564245,0.010000
1.075000,-1.530967,-1.561912,0.010000
1.085000,-1.519222,-1.559235,0.010000
1.095000,-1.505988,-1.556218,0.010000
1.105000,-1.491276,-1.552867,0.010000
1.115000,-1.475101,-1.549188,0.010000
1.125000,-1.457479,-1.545185,0.010000
1.135000,-1.438428,-1.540863,0.010000
1.145000,-1.417965,-1.536228,0.010000
1.155000,-1.396112,-1.531286,0.010000
1.165000,-1.372889,-1.526040,0.010000
1.175000,-1.348320,-1.520496,0.010000
1.185000,-1.322428,-1.514659,0.010000
1.195000,-1.295239,-1.508533,0.010000
1.205000,-1.266779,-1.502124,0.010000
1.215000,-1.237076,-1.495437,0.010000
1.225000,-1.206161,-1.488476,0.010000
1.235000,-1.174062,-1.481246,0.010000
1.245000,-1.140811,-1.473751,0.010000
1.255000,-1.106441,-1.465997,0.010000
1.265000,-1.070986,-1.457988,0.010000
1.275000,-1.034481,-1.449728,0.010000
1.285000,-0.996960,-1.441223,0.010000
1.295000,-0.958462,-1.432475,0.010000
1.305000,-0.919024,-1.423491,0.010000
1.315000,-0.878684,-1.414274,0.010000
1.325000,-0.837482,-1.404829,0.010000
1.335000,-0.795459,-1.395160,0.010000
1.345000,-0.752655,-1.385271,0.010000
1.355000,-0.709113,-1.375166,0.010000
1.365000,-0.664876,-1.364851,0.010000
1.375000,-0.619986,-1.354328,0.010000
1.385000,-0.574488,-1.343603,0.010000
1.395000,-0.528427,-1.332678,0.010000
1.405000,-0.481847,-1.321559,0.010000
1.415000,-0.434795,-1.310249,0.010000
1.425000,-0.387316,-1.298753,0.010000
1.435000,-0.339457,-1.287073,0.010000
1.445000,-0.291265,-1.275214,0.010000
1.455000,-0.242788,-1.263181,0.010000
1.465000,-0.194072,-1.250976,0.010000
1.475000,-0.145166,-1.238603,0.010000
1.485000,-0.096118,-1.226067,0.010000
1.495000,-0.046975,-1.213371,0.010000
1.505000,0.002214,-1.200519,0.010000
1.515000,0.051400,-1.187514,0.010000
1.525000,0.100537,-1.174359,0.010000
1.535000,0.149574,-1.161060,0.010000
1.545000,0.198465,-1.147618,0.010000
1.555000,0.247161,-1.134038,0.010000
1.565000,0.295615,-1.120323,0.010000
1.575000,0.343779,-1.106476,0.010000
1.585000,0.391605,-1.092501,0.010000
